date,asset,regime,y_true,baseline_pred,lr_prob,rf_prob,xgb_prob
2024-03-05,SPY,0,0,1,0.5476290085945028,0.5658449680023044,0.5076067
2024-03-06,SPY,0,1,1,0.5369214233934909,0.5560650490509447,0.48756292
2024-03-07,SPY,0,0,1,0.5318931976845341,0.5578718759010566,0.49281082
2024-03-08,SPY,0,1,1,0.552958701285972,0.6371275700113365,0.72399914
2024-03-11,SPY,0,1,1,0.5358458557030809,0.5331443844393753,0.4858582
2024-03-12,SPY,0,0,1,0.5365509838795897,0.561297751390947,0.5733861
2024-03-13,SPY,0,0,1,0.5386448409749234,0.5766766921540832,0.6305777
2024-03-14,SPY,0,0,1,0.5642860778373492,0.63062994864077,0.65400386
2024-03-15,SPY,0,0,1,0.5567275877456143,0.6294384262347557,0.5780651
2024-03-18,SPY,0,1,1,0.5447374633920172,0.6087557968084059,0.6559899
2024-03-19,SPY,0,1,1,0.5378658010377252,0.5411472440544169,0.54626715
2024-03-20,SPY,0,0,1,0.5451248812586801,0.6330971523359465,0.64172417
2024-03-21,SPY,0,0,1,0.5397863065210287,0.5889561414673945,0.7108997
2024-03-22,SPY,0,0,1,0.5445081113901181,0.607389625919796,0.63741255
2024-03-25,SPY,0,0,1,0.5300784428997783,0.4803370831199713,0.5310593
2024-03-26,SPY,0,1,1,0.5341322473565483,0.5012074751849859,0.43452534
2024-03-27,SPY,0,0,1,0.5400211938657261,0.5702158956785754,0.48659116
2024-03-28,SPY,0,0,1,0.5507009726106344,0.5887056809504774,0.5670357
2024-04-01,SPY,0,1,1,0.5335635731211831,0.5151568183536636,0.5087974
2024-04-02,SPY,0,1,1,0.5392276229532392,0.5598337604439639,0.4159126
2024-04-03,SPY,0,0,1,0.5339954325564149,0.5330277170955509,0.51416075
2024-04-04,SPY,0,1,1,0.551387426755218,0.5502400715412371,0.41743872
2024-04-05,SPY,0,0,1,0.5353504903313034,0.518925051134027,0.49727368
2024-04-08,SPY,0,0,1,0.5367198276305505,0.5248269225422919,0.46729958
2024-04-09,SPY,0,1,1,0.5448329416240784,0.5438766552054208,0.46989128
2024-04-10,SPY,0,1,1,0.551252336534008,0.5464297339291163,0.4754768
2024-04-11,SPY,0,0,1,0.5369294938300195,0.5282139975586319,0.5993484
2024-04-12,SPY,0,0,1,0.5555432491005705,0.6503253359458909,0.6511051
2024-04-15,SPY,0,0,1,0.5557729713591398,0.5678994835157538,0.4954525
2024-04-16,SPY,0,0,1,0.5421849612420419,0.5207082388801446,0.3835462
2024-04-17,SPY,0,0,1,0.5443304083737025,0.5509067528811307,0.70651704
2024-04-18,SPY,0,0,1,0.5390846640395361,0.5144971239846279,0.52597886
2024-04-19,SPY,0,1,1,0.5520017718136746,0.500889202735713,0.49786028
2024-04-22,SPY,0,1,1,0.5332704128322224,0.49537903267168176,0.48926824
2024-04-23,SPY,0,0,1,0.5367398979906837,0.5505318900630712,0.71541107
2024-04-24,SPY,0,1,1,0.5379234173859819,0.5236160127803295,0.64836466
2024-04-25,SPY,0,1,1,0.5397259250465822,0.5151931120424607,0.45891222
2024-04-26,SPY,0,0,1,0.5271252543274904,0.5542613386709373,0.66118443
2024-04-29,SPY,0,0,1,0.5204610702182183,0.5287591743012175,0.51451707
2024-04-30,SPY,0,0,1,0.5427891983206444,0.5499836859176495,0.5920011
2024-05-01,SPY,0,1,1,0.5340162781294342,0.6458422658707739,0.6860341
2024-05-02,SPY,0,1,1,0.5275124655767219,0.5745450679944298,0.69033283
2024-05-03,SPY,0,1,1,0.5325652628547995,0.5435456978320262,0.60996586
2024-05-06,SPY,0,0,1,0.5242781631867904,0.5216920184562412,0.49001133
2024-05-07,SPY,0,1,1,0.5232021705782588,0.5150270459812653,0.5124525
2024-05-08,SPY,0,1,1,0.5177835704584995,0.4999339767564203,0.4964531
2024-05-09,SPY,0,0,1,0.511148601076898,0.5612791393176352,0.58947194
2024-05-10,SPY,0,0,1,0.5200435373257226,0.5310993357590256,0.6224239
2024-05-13,SPY,0,1,1,0.5175907621651903,0.576531926457459,0.573517
2024-05-14,SPY,0,1,1,0.5267566743540172,0.5001153285697496,0.5613358
2024-05-15,SPY,0,0,1,0.5313318549899132,0.6149577435188565,0.52365524
2024-05-16,SPY,0,1,1,0.5362450616217328,0.5574234515207153,0.46765634
2024-05-17,SPY,0,1,1,0.5428913545763023,0.5665390306893563,0.5735598
2024-05-20,SPY,0,1,1,0.5286149216437974,0.5358823114718405,0.53775
2024-05-21,SPY,0,0,1,0.5237178282754045,0.5869527191397861,0.62061274
2024-05-22,SPY,0,0,1,0.5317852438172767,0.5919871797489195,0.6779132
2024-05-23,SPY,0,1,1,0.5410775868714154,0.5513285404578852,0.7156244
2024-05-24,SPY,0,0,1,0.5275988026156236,0.5679799220739443,0.6366209
2024-05-28,SPY,0,1,1,0.5297947909603352,0.4965386785847566,0.48293844
2024-05-29,SPY,0,0,1,0.5464620026572304,0.5626300614492422,0.55033445
2024-05-30,SPY,0,1,1,0.5492602152875926,0.5751286981683459,0.66752857
2024-05-31,SPY,0,0,1,0.5660886148947155,0.5735504404415832,0.6256566
2024-06-03,SPY,0,1,1,0.5469400331299078,0.530412067232739,0.58799624
2024-06-04,SPY,0,1,1,0.5395028913437576,0.5758658200446886,0.5838775
2024-06-05,SPY,0,0,1,0.544452291913227,0.5466632221840426,0.47190917
2024-06-06,SPY,0,1,1,0.538862606114899,0.4869264952782843,0.46140552
2024-06-07,SPY,0,1,1,0.5418569023325067,0.49101272562489023,0.45954278
2024-06-10,SPY,0,1,1,0.5352256612175716,0.5088621448415235,0.4455704
2024-06-11,SPY,0,0,1,0.535389990164775,0.5125198709631611,0.44323874
2024-06-12,SPY,0,0,1,0.5448534828322905,0.543928881541232,0.45781037
2024-06-13,SPY,0,1,1,0.5355410926891513,0.5044457427433265,0.52113813
2024-06-14,SPY,0,1,1,0.5329772418482966,0.5151580288254747,0.5340446
2024-06-17,SPY,0,1,1,0.5379984004770142,0.5390527243792615,0.49747172
2024-06-18,SPY,0,0,1,0.5321533527594301,0.5312725333196583,0.46859428
2024-06-20,SPY,0,1,1,0.5459385119620945,0.5481130343287433,0.5127763
2024-06-21,SPY,0,0,1,0.5419257850115827,0.6103252062294096,0.61625665
2024-06-24,SPY,0,1,1,0.5367098615687371,0.4899927429491428,0.40596384
2024-06-25,SPY,0,1,1,0.5281524405691054,0.547472961167643,0.6718252
2024-06-26,SPY,0,1,1,0.5316696874380719,0.5389938358645656,0.55089563
2024-06-27,SPY,0,0,1,0.5347714304736532,0.5458605830922018,0.64338046
2024-06-28,SPY,0,0,1,0.5585538025257367,0.5580440757628689,0.6173047
2024-07-01,SPY,0,1,1,0.5381442794834747,0.5287157181222317,0.5053581
